ubigeo,neighbor_ubigeo
021708,020507
021708,021101
021708,021102
021708,021703
021708,021705
021708,021709
021709,021702
021709,021703
021709,021704
021709,021705
021709,021708
021710,020108
021710,020201
021710,021004
021710,021701
021710,021702
021801,021510
021801,021802
021801,021803
021801,021804
021801,021806
021801,021808
021801,021809
021801,131001
021801,131202
021801,131203
021802,021204
021802,021205
021802,021206
021802,021209
021802,021801
021802,021804
021802,021805
021802,021806
021803,021801
021803,021808
021804,020903
021804,020905
021804,020907
021804,021202
021804,021209
021804,021510
021804,021801
021804,021802
021804,131001
021804,131202
021805,020801
021805,020802
021805,021206
021805,021802
021805,021806
021805,022005
021806,020801
021806,021801
021806,021802
021806,021805
021806,021807
021806,021809
021807,020801
021807,020803
021807,021806
021807,021809
021808,021801
021808,021803
021808,131203
021809,021801
021809,021806
021809,021807
021901,021904
021901,021906
021901,021908
021901,021909
021902,021503
021902,021905
021902,021907
021902,130803
021902,130812
021903,021603
021903,021906
021903,021907
021903,130804
021903,130811
021904,020904
021904,021901
021904,021908
021904,021909
021905,021503
021905,021902
021905,021906
021905,021907
021905,021908
021906,021603
021906,021901
021906,021903
021906,021905
021906,021907
021906,021908
021906,021909
021906,021910
021907,021902
021907,021903
021907,021905
021907,021906
021907,130811
021907,130812
021907,130813
021908,020904
021908,021503
021908,021901
021908,021904
021908,021905
021908,021906
021909,020904
021909,021210
021909,021601
021909,021901
021909,021904
021909,021906
021909,021910
021910,021601
021910,021603
021910,021906
021910,021909
022001,020609
022001,021201
022001,021207
022001,022003
022001,022004
022001,022006
022001,022008
022002,020102
022002,020804
022002,021207
022002,022004
022002,022005
022002,022007
022003,020603
022003,020605
022003,020609
022003,020610
022003,022001
022003,022004
022003,022006
022003,022007
022004,021207
022004,022001
022004,022002
022004,022003
022004,022006
022004,022007
022005,020802
022005,020804
022005,021206
022005,021207
022005,021805
022005,022002
022006,022001
022006,022003
022006,022004
022007,020102
022007,020110
022007,020601
022007,020605
022007,022002
022007,022003
022007,022004
022008,020401
022008,020402
022008,020609
022008,020701
022008,020703
022008,021201
022008,021208
022008,021306
022008,021307
022008,021602
022008,022001
030101,030104
030101,030105
030101,030106
030101,030107
030101,030109
030101,030204
030102,030103
030102,030107
030102,030302
030102,030404
030102,030414
030102,030415
030103,030102
030103,030106
030103,030107
030103,030302
030103,030306
030103,030701
030104,030101
030104,030106
030104,030108
030104,030109
030104,030502
030104,030503
030104,030703
030104,080304
030104,080306
030104,080307
030105,030101
030105,030108
030105,030109
030105,030204
030105,030208
030105,080908
030105,080909
030106,030101
030106,030103
030106,030104
030106,030107
030106,030701
030106,030702
030106,030703
030107,030101
030107,030102
030107,030103
030107,030106
030107,030204
030107,030207
030107,030404
030107,030415
030108,030104
030108,030105
030108,030109
030108,080307
030108,080908
030109,030101
030109,030104
030109,030105
030109,030108
030201,030209
030201,030213
030201,030216
030201,030217
030201,030218
030201,030405
030201,030409
030202,030209
030202,030216
030202,030219
030202,030605
030202,050505
030203,030205
030203,030206
030203,030212
030203,030214
030203,030217
030203,050904
030203,050909
030204,030101
030204,030105
030204,030107
030204,030207
030204,030208
030205,030203
030205,030212
030205,030215
030205,030216
030205,030217
030205,030218
030206,030203
030206,030211
030206,030214
030206,030217
030206,050907
030206,050910
030207,030107
030207,030204
030207,030208
030207,030209
030207,030213
030207,030219
030207,030415
030208,030105
030208,030204
030208,030207
030208,030209
030208,030219
030208,050505
030208,080909
030209,030201
030209,030202
030209,030207
030209,030208
030209,030213
030209,030216
030209,030219
030210,030211
030210,030402
030210,030406
030210,030412
030210,050606
030210,050701
030210,050908
030210,050911
030211,030206
030211,030210
030211,030217
030211,030402
030211,050910
030211,050911
030212,030203
030212,030205
030212,030215
030212,030607
030212,050902
030212,050903
030212,050904
030212,051103
030212,051107
030213,030201
030213,030207
030213,030209
030213,030409
030213,030411
030213,030415
030214,030203
030214,030206
030214,030217
030214,050907
030214,050909
030215,030205
030215,030212
030215,030216
030215,030218
030215,030605
030215,030607
030215,030608
030216,030201
030216,030202
030216,030205
030216,030209
030216,030215
030216,030218
030216,030605
030217,030201
030217,030203
030217,030205
030217,030206
030217,030211
030217,030214
030217,030218
030217,030402
030217,030405
030217,030416
030218,030201
030218,030205
030218,030215
030218,030216
030218,030217
030219,030202
030219,030207
030219,030208
030219,030209
030219,050505
030301,030303
030301,030304
030301,030305
030301,040804
030302,030102
030302,030103
030302,030306
030302,030410
030302,030414
030303,030301
030303,030304
030303,030305
030303,030307
030303,030707
030303,030713
030304,030301
030304,030303
030304,030307
030304,030403
030304,030406
030304,040804
030304,040805
030304,050703
030305,030301
030305,030303
030305,030504
030305,030506
030305,030705
030305,030706
030305,030711
030305,030713
030305,030714
030305,040804
030305,040806
030305,080701
030305,080706
030306,030103
030306,030302
030306,030307
030306,030410
030306,030701
030307,030303
030307,030304
030307,030306
030307,030401
030307,030403
030307,030410
030307,030701
030307,030707
030401,030307
030401,030403
030401,030406
030401,030408
030401,030410
030401,030412
030401,030413
030401,030417
030402,030210
030402,030211
030402,030217
030402,030407
030402,030412
030402,030413
030402,030416
030403,030304
030403,030307
030403,030401
030403,030406
030404,030102
030404,030107
030404,030405
030404,030407
030404,030408
030404,030414
030404,030415
030405,030201
030405,030217
030405,030404
030405,030407
030405,030408
030405,030409
030405,030414
030405,030415
030405,030416
030406,030210
030406,030304
030406,030401
030406,030403
030406,030412
030406,050701
030406,050703
030406,050708
030407,030402
030407,030404
030407,030405
030407,030408
030407,030413
030407,030414
030407,030416
030408,030401
030408,030404
030408,030405
030408,030407
030408,030413
030408,030414
030408,030417
030409,030201
030409,030213
030409,030405
030409,030411
030409,030415
030410,030302
030410,030306
030410,030307
030410,030401
030410,030414
030410,030417
030411,030213
030411,030409
030411,030415
030412,030210
030412,030401
030412,030402
030412,030406
030412,030413
030413,030401
030413,030402
030413,030407
030413,030408
030413,030412
030414,030102
030414,030302
030414,030404
030414,030405
030414,030407
030414,030408
030414,030410
030414,030417
030415,030102
030415,030107
030415,030207
030415,030213
030415,030404
030415,030405
030415,030409
030415,030411
030416,030217
030416,030402
030416,030405
030416,030407
030417,030401
030417,030408
030417,030410
030417,030414
030501,030502
030501,030503
030501,030505
030501,030506
030501,080304
030501,081003
030501,081005
030502,030104
030502,030501
030502,030503
030502,080304
030503,030104
030503,030501
030503,030502
030503,030506
030503,030703
030503,030704
030503,030708
030504,030305
030504,030505
030504,030506
030504,080704
030504,080706
030504,080707
030505,030501
030505,030504
030505,030506
030505,080702
030505,080704
030505,081003
030506,030305
030506,030501
030506,030503
030506,030504
030506,030505
030506,030708
030506,030714
030601,030602
030601,030603
030601,030604
030601,030606
030601,051104
030602,030601
030602,030603
030602,030606
030602,030607
030602,030608
030603,030601
030603,030602
030603,030607
030603,051101
030603,051104
030603,051107
030604,030601
030604,030606
030604,050106
030604,050502
030604,050504
